type,position,username,followerCount,url
instagram,Advocate,wellrestedweeones,377500,https://www.instagram.com/wellrestedweeones/?hl=en
instagram,Advocate,just_chill_mama,280500,https://www.instagram.com/just_chill_mama/?hl=en
instagram,Advocate,babysleep.answers,123000,https://www.instagram.com/babysleep.answers/
instagram,Advocate,takingcarababies,2700000,https://www.instagram.com/takingcarababies/?hl=en
instagram,Advocate,babysleepdr,782400,https://www.instagram.com/babysleepdr/?hl=en
instagram,Advocate,the.peaceful.sleeper,427500,https://www.instagram.com/the.peaceful.sleeper/?hl=en
instagram,No Position,4theloveofsleep,68100,https://www.instagram.com/4theloveofsleep/?hl=en
instagram,No Position,sleepandthecity,130600,https://www.instagram.com/sleepandthecity/?hl=en
instagram,Oppose,heysleepybaby,417000,https://www.instagram.com/heysleepybaby/?hl=en
instagram,Oppose,raisedgood,257000,https://www.instagram.com/raisedgood/?hl=en
instagram,Oppose,resting_in_motherhood,156000,https://www.instagram.com/resting_in_motherhood/?hl=en
instagram,Oppose,littlewinkssleep,138500,https://www.instagram.com/littlewinkssleep/?hl=en
instagram,Oppose,taylorkulik,135400,https://www.instagram.com/taylorkulik/
instagram,Oppose,nurture_neuroscience_parenting,120000,https://www.instagram.com/nurture_neuroscience_parenting/?hl=en
instagram,Oppose,sarahockwellsmith,110000,https://www.instagram.com/sarahockwellsmith/?hl=en
instagram,Oppose,islagracesleep,104000,https://www.instagram.com/islagracesleep/?hl=en
instagram,Oppose,kaitlinklimmer,81000,https://www.instagram.com/kaitlinklimmer/
instagram,Oppose,thegentlesleepcoach,78000,https://www.instagram.com/thegentlesleepcoach/
instagram,Oppose,littlevillagesleep,57000,https://www.instagram.com/littlevillagesleep